feature,importance
cat__Policy_Sales_Channel_9.0,0.00041822268
cat__Policy_Sales_Channel_73.0,0.00041555462
cat__Policy_Sales_Channel_32.0,0.00036569271
cat__Policy_Sales_Channel_39.0,0.00032802188
cat__Policy_Sales_Channel_21.0,4.049071e-05
cat__Policy_Sales_Channel_115.0,0.0
cat__Policy_Sales_Channel_107.0,0.0
cat__Policy_Sales_Channel_108.0,0.0
cat__Policy_Sales_Channel_110.0,0.0
cat__Policy_Sales_Channel_146.0,0.0
cat__Policy_Sales_Channel_112.0,0.0
cat__Policy_Sales_Channel_113.0,0.0
cat__Policy_Sales_Channel_114.0,0.0
cat__Policy_Sales_Channel_138.0,0.0
cat__Policy_Sales_Channel_126.0,0.0
cat__Policy_Sales_Channel_137.0,0.0
cat__Policy_Sales_Channel_105.0,0.0
cat__Policy_Sales_Channel_143.0,0.0
cat__Policy_Sales_Channel_117.0,0.0
cat__Policy_Sales_Channel_118.0,0.0
cat__Policy_Sales_Channel_134.0,0.0
cat__Policy_Sales_Channel_119.0,0.0
cat__Policy_Sales_Channel_130.0,0.0
cat__Policy_Sales_Channel_159.0,0.0
cat__Policy_Sales_Channel_123.0,0.0
cat__Policy_Sales_Channel_149.0,0.0
cat__Policy_Sales_Channel_53.0,0.0
cat__Policy_Sales_Channel_104.0,0.0
cat__Policy_Sales_Channel_41.0,0.0
cat__Policy_Sales_Channel_63.0,0.0
cat__Policy_Sales_Channel_62.0,0.0
cat__Policy_Sales_Channel_59.0,0.0
cat__Policy_Sales_Channel_58.0,0.0
cat__Policy_Sales_Channel_57.0,0.0
cat__Policy_Sales_Channel_56.0,0.0
cat__Policy_Sales_Channel_51.0,0.0
cat__Policy_Sales_Channel_50.0,0.0
cat__Policy_Sales_Channel_49.0,0.0
cat__Policy_Sales_Channel_43.0,0.0
cat__Policy_Sales_Channel_42.0,0.0
cat__Policy_Sales_Channel_40.0,0.0
cat__Policy_Sales_Channel_103.0,0.0
cat__Policy_Sales_Channel_38.0,0.0
cat__Policy_Sales_Channel_35.0,0.0
cat__Policy_Sales_Channel_34.0,0.0
cat__Policy_Sales_Channel_33.0,0.0
cat__Policy_Sales_Channel_28.0,0.0
cat__Policy_Sales_Channel_27.0,0.0
cat__Policy_Sales_Channel_23.0,0.0
cat__Policy_Sales_Channel_20.0,0.0
cat__Policy_Sales_Channel_17.0,0.0
cat__Policy_Sales_Channel_6.0,0.0
cat__Policy_Sales_Channel_2.0,0.0
cat__Policy_Sales_Channel_66.0,0.0
cat__Policy_Sales_Channel_67.0,0.0
cat__Policy_Sales_Channel_68.0,0.0
cat__Policy_Sales_Channel_69.0,0.0
cat__Policy_Sales_Channel_102.0,0.0
cat__Policy_Sales_Channel_101.0,0.0
cat__Policy_Sales_Channel_100.0,0.0
cat__Policy_Sales_Channel_99.0,0.0
cat__Policy_Sales_Channel_98.0,0.0
cat__Policy_Sales_Channel_97.0,0.0
cat__Policy_Sales_Channel_96.0,0.0
cat__Policy_Sales_Channel_95.0,0.0
cat__Policy_Sales_Channel_93.0,0.0
cat__Policy_Sales_Channel_92.0,0.0
cat__Policy_Sales_Channel_89.0,0.0
cat__Policy_Sales_Channel_87.0,0.0
cat__Policy_Sales_Channel_84.0,0.0
cat__Policy_Sales_Channel_83.0,0.0
cat__Policy_Sales_Channel_82.0,0.0
cat__Policy_Sales_Channel_80.0,0.0
cat__Policy_Sales_Channel_79.0,0.0
cat__Policy_Sales_Channel_78.0,0.0
cat__Policy_Sales_Channel_76.0,0.0
cat__Policy_Sales_Channel_75.0,0.0
cat__Policy_Sales_Channel_74.0,0.0
cat__Policy_Sales_Channel_71.0,0.0
cat__Policy_Sales_Channel_70.0,0.0
cat__Policy_Sales_Channel_46.0,0.0
