run_id,model,best_cv_auc,test_auc,best_params,git_hash,timestamp
20260312T152253Z,XGBoost,0.8577185038349594,0.858269240101553,"{""classifier__colsample_bytree"": 0.7692681476866446, ""classifier__learning_rate"": 0.04687178262182082, ""classifier__max_depth"": 6, ""classifier__n_estimators"": 398, ""classifier__subsample"": 0.8829989973347863}",5d7c9f9d44922eb433db2243d01dc5a85bf5d12f,2026-03-12T15:33:21.481170
20260312T152253Z,LightGBM,0.8576427301006979,0.8579977133545166,"{""classifier__colsample_bytree"": 0.7467983561008608, ""classifier__learning_rate"": 0.034065852851773964, ""classifier__max_depth"": 15, ""classifier__n_estimators"": 316, ""classifier__num_leaves"": 55, ""classifier__subsample"": 0.7428600453765822}",5d7c9f9d44922eb433db2243d01dc5a85bf5d12f,2026-03-12T15:35:17.911627
20260312T152253Z,RandomForest,0.8542867897079814,0.8543878135246594,"{""classifier__max_depth"": 30, ""classifier__min_samples_leaf"": 3, ""classifier__min_samples_split"": 7, ""classifier__n_estimators"": 389}",5d7c9f9d44922eb433db2243d01dc5a85bf5d12f,2026-03-12T15:32:31.352310
